[rosmaster.main][INFO] 2016-06-04 16:24:27,261: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-04 16:24:27,262: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-04 16:24:27,262: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-04 16:24:27,263: Started XML-RPC server [http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-04 16:24:27,263: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-04 16:24:27,263: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-04 16:24:27,319: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,320: +PARAM [/roslaunch/uris/host_cmeintel_desktop__46612] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,377: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:46526/
[rosmaster.master][INFO] 2016-06-04 16:24:27,378: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:46526/
[rosmaster.master][INFO] 2016-06-04 16:24:27,379: +PUB [/rosout_agg] /rosout http://cmeintel-desktop:46526/
[rosmaster.master][INFO] 2016-06-04 16:24:27,382: +SUB [/rosout] /rosout http://cmeintel-desktop:46526/
[rosmaster.master][INFO] 2016-06-04 16:24:27,592: +PARAM [/gripper_right/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,593: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,593: +PARAM [/objects/chair_ikea_borje/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,593: +PARAM [/objects/lamp_ikea_arstid/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,593: +PARAM [/objects/box_wood/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,593: +PARAM [/objects/candle_thin/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,593: +PARAM [/objects/picture_family/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,593: +PARAM [/gripper_left/joint_group_position_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,593: +PARAM [/objects/bookcase/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,593: +PARAM [/arm_left/arm_left_2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,593: +PARAM [/base/joint_group_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,593: +PARAM [/arm_left/twist_controller/eps_truncation] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,593: +PARAM [/gripper_right/gripper_right_finger_2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,594: +PARAM [/torso/frame_tracker/pid_trans_y/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,594: +PARAM [/torso/chain_base_link] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,594: +PARAM [/objects/salt/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,594: +PARAM [/arm_left/arm_left_1_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,594: +PARAM [/objects/plant_floor_small/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,594: +PARAM [/image_flip_sensorring_cam3d/image_flip_sensorring_cam3d/display_warnings] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,594: +PARAM [/torso/twist_controller/constraint_jla] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,594: +PARAM [/objects/plant_flower_white/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,594: +PARAM [/arm_right/frame_tracker/pid_trans_x/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,594: +PARAM [/arm_right/arm_right_5_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,594: +PARAM [/sensorring/joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,594: +PARAM [/script_server/arm_right/joint_names] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,594: +PARAM [/script_server/gripper_right/action_name] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,594: +PARAM [/objects/cabinet_diamondback/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,595: +PARAM [/arm_left/arm_left_2_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,595: +PARAM [/base_laser_right/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,595: +PARAM [/objects/basmati_rice/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,595: +PARAM [/script_server/sensorring/back] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,595: +PARAM [/objects/cabinet_diamondback/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,595: +PARAM [/arm_right/twist_controller/k_H_jla] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,595: +PARAM [/arm_left/joint_trajectory_controller/constraints/arm_left_5_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,595: +PARAM [/arm_left/twist_controller/k_H] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,595: +PARAM [/gripper_right/joint_trajectory_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,595: +PARAM [/image_flip_torso_cam3d_right/image_flip_torso_cam3d_right/flip_pointcloud] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,595: +PARAM [/torso/joint_trajectory_controller/constraints/torso_3_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,595: +PARAM [/script_server/gripper_left/action_name] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,595: +PARAM [/base_laser_right/scan_cycle_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,596: +PARAM [/objects/cabinet_ikea_malm_big/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,596: +PARAM [/objects/candle_thick/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:24:27,596: +PARAM [/objects/shelf_white/model_type] by /roslaunch
