[rosmaster.main][INFO] 2016-06-08 21:56:30,698: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-08 21:56:30,699: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-08 21:56:30,699: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-08 21:56:30,700: Started XML-RPC server [http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-08 21:56:30,700: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-08 21:56:30,700: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-08 21:56:30,803: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:30,804: +PARAM [/roslaunch/uris/host_cmeintel_desktop__34872] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:30,938: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:41153/
[rosmaster.master][INFO] 2016-06-08 21:56:30,939: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:41153/
[rosmaster.master][INFO] 2016-06-08 21:56:30,941: +PUB [/rosout_agg] /rosout http://cmeintel-desktop:41153/
[rosmaster.master][INFO] 2016-06-08 21:56:30,944: +SUB [/rosout] /rosout http://cmeintel-desktop:41153/
[rosmaster.master][INFO] 2016-06-08 21:56:31,176: +PARAM [/gripper_right/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,176: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,176: +PARAM [/objects/chair_ikea_borje/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,176: +PARAM [/objects/lamp_ikea_arstid/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,176: +PARAM [/objects/box_wood/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,176: +PARAM [/objects/candle_thin/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,176: +PARAM [/objects/picture_family/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,176: +PARAM [/gripper_left/joint_group_position_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,176: +PARAM [/objects/bookcase/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,176: +PARAM [/arm_left/arm_left_2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,176: +PARAM [/base/joint_group_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,177: +PARAM [/arm_left/twist_controller/eps_truncation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,177: +PARAM [/gripper_right/gripper_right_finger_2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,177: +PARAM [/torso/frame_tracker/pid_trans_y/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,177: +PARAM [/torso/chain_base_link] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,177: +PARAM [/objects/salt/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,177: +PARAM [/arm_left/arm_left_1_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,177: +PARAM [/objects/plant_floor_small/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,177: +PARAM [/image_flip_sensorring_cam3d/image_flip_sensorring_cam3d/display_warnings] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,177: +PARAM [/torso/twist_controller/constraint_jla] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,177: +PARAM [/objects/plant_flower_white/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,177: +PARAM [/arm_right/frame_tracker/pid_trans_x/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,177: +PARAM [/arm_right/arm_right_5_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,177: +PARAM [/sensorring/joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,178: +PARAM [/script_server/arm_right/joint_names] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,178: +PARAM [/script_server/gripper_right/action_name] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,178: +PARAM [/objects/cabinet_diamondback/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,178: +PARAM [/arm_left/arm_left_2_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,178: +PARAM [/base_laser_right/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,178: +PARAM [/objects/basmati_rice/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,178: +PARAM [/script_server/sensorring/back] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,178: +PARAM [/objects/cabinet_diamondback/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,178: +PARAM [/arm_right/twist_controller/k_H_jla] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,178: +PARAM [/arm_left/joint_trajectory_controller/constraints/arm_left_5_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,178: +PARAM [/arm_left/twist_controller/k_H] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,178: +PARAM [/gripper_right/joint_trajectory_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,178: +PARAM [/image_flip_torso_cam3d_right/image_flip_torso_cam3d_right/flip_pointcloud] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,179: +PARAM [/torso/joint_trajectory_controller/constraints/torso_3_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,179: +PARAM [/script_server/gripper_left/action_name] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,179: +PARAM [/base_laser_right/scan_cycle_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,179: +PARAM [/objects/cabinet_ikea_malm_big/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,179: +PARAM [/objects/candle_thick/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,179: +PARAM [/objects/shelf_white/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,179: +PARAM [/script_server/arm_right/wave3] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,179: +PARAM [/script_server/light_torso/red] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,179: +PARAM [/arm_right/joint_trajectory_controller/constraints/arm_right_6_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,179: +PARAM [/script_server/torso/service_ns] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,179: +PARAM [/diagnostic_aggregator/analyzers/sensors/analyzers/battery/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,179: +PARAM [/world/world_joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,180: +PARAM [/base/velocity_smoother/decel_factor_safe] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,180: +PARAM [/arm_right/twist_controller/kinematic_extension] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,180: +PARAM [/arm_left/joint_trajectory_controller/constraints/arm_left_7_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,180: +PARAM [/objects/book_heilkrauter/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,180: +PARAM [/objects/shelf_white/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,180: +PARAM [/objects/tomato_soup/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,180: +PARAM [/objects/cabinet_living_room/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,180: +PARAM [/objects/bed/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,180: +PARAM [/objects/chair_wicker/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,180: +PARAM [/objects/chair_ikea_borje2/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,180: +PARAM [/diagnostic_aggregator/analyzers/motors/analyzers/base/path] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,180: +PARAM [/arm_left/twist_controller/numerical_filtering] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,180: +PARAM [/diagnostic_aggregator/analyzers/computers/analyzers/s1/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,180: +PARAM [/torso/twist_controller/priority_jla] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,181: +PARAM [/image_flip_torso_cam3d_right/image_flip_torso_cam3d_right/display_warnings] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,181: +PARAM [/objects/couch2/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,181: +PARAM [/gripper_left/joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,181: +PARAM [/arm_left/arm_left_6_joint_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,181: +PARAM [/base/joint_group_velocity_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,181: +PARAM [/objects/chair_ikea_borje/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,181: +PARAM [/objects/lamp_ikea_arstid/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,181: +PARAM [/base_laser_right/port] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,181: +PARAM [/gripper_right/joint_trajectory_controller/constraints/gripper_right_finger_1_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,181: +PARAM [/objects/plant_pot_purple2/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,181: +PARAM [/arm_left/frame_tracker/cart_min_dist_threshold_rot] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,181: +PARAM [/arm_left/frame_tracker/pid_trans_y/i] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,181: +PARAM [/arm_left/arm_left_6_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,182: +PARAM [/arm_left/frame_tracker/pid_trans_y/d] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,182: +PARAM [/objects/cabinet/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,182: +PARAM [/torso/joint_trajectory_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,182: +PARAM [/torso/joint_trajectory_controller/constraints/torso_2_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,182: +PARAM [/arm_right/arm_right_7_joint_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,182: +PARAM [/objects/table_bedside/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,182: +PARAM [/script_server/arm_right/hello1] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,182: +PARAM [/script_server/arm_right/hello2] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,182: +PARAM [/arm_left/frame_tracker/pid_trans_y/p] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,182: +PARAM [/arm_left/arm_left_3_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,182: +PARAM [/objects/tomato_sauce/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,182: +PARAM [/objects/plant_pot_white/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,182: +PARAM [/objects/cabinet_ikea_malm_small/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,183: +PARAM [/objects/tv_samsung/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,183: +PARAM [/script_server/arm_right/wave2] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,183: +PARAM [/diagnostic_aggregator/analyzers/computers/analyzers/s1/contains] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,183: +PARAM [/arm_right/joint_trajectory_controller/constraints/arm_right_1_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,183: +PARAM [/objects/table_living_room/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,183: +PARAM [/diagnostic_aggregator/analyzers/io/analyzers/sound/path] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,183: +PARAM [/gripper_left/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,183: +PARAM [/objects/cabinet_ikea_malm_big/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 21:56:31,183: +PARAM [/torso/frame_tracker/pid_rot_x/i_clamp] by /roslaunch
