[rosmaster.main][INFO] 2016-06-04 15:13:38,747: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-04 15:13:38,747: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-04 15:13:38,748: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-04 15:13:38,749: Started XML-RPC server [http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-04 15:13:38,749: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-04 15:13:38,749: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-04 15:13:38,839: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:13:38,841: +PARAM [/roslaunch/uris/host_cmeintel_desktop__46308] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:13:39,009: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:13:39,009: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:13:39,009: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:13:39,647: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:33404/
[rosmaster.master][INFO] 2016-06-04 15:13:39,648: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:33404/
[rosmaster.master][INFO] 2016-06-04 15:13:39,655: +SUB [/clock] /rosout http://cmeintel-desktop:33404/
[rosmaster.master][INFO] 2016-06-04 15:13:39,656: +PUB [/rosout_agg] /rosout http://cmeintel-desktop:33404/
[rosmaster.master][INFO] 2016-06-04 15:13:39,662: +SUB [/rosout] /rosout http://cmeintel-desktop:33404/
[rosmaster.master][INFO] 2016-06-04 15:13:41,257: +PUB [/rosout] /gazebo http://cmeintel-desktop:39009/
[rosmaster.master][INFO] 2016-06-04 15:13:41,258: +SERVICE [/gazebo/get_loggers] /gazebo http://cmeintel-desktop:39009/
[rosmaster.master][INFO] 2016-06-04 15:13:41,259: +SERVICE [/gazebo/set_logger_level] /gazebo http://cmeintel-desktop:39009/
[rosmaster.master][INFO] 2016-06-04 15:13:41,265: +SUB [/clock] /gazebo http://cmeintel-desktop:39009/
[rosmaster.master][INFO] 2016-06-04 15:13:41,352: publisherUpdate[/rosout] -> http://cmeintel-desktop:33404/
[rosmaster.master][INFO] 2016-06-04 15:13:55,272: -PUB [/rosout_agg] /rosout http://cmeintel-desktop:33404/
[rosmaster.master][INFO] 2016-06-04 15:13:55,274: -SUB [/clock] /rosout http://cmeintel-desktop:33404/
[rosmaster.master][INFO] 2016-06-04 15:13:55,274: -SUB [/rosout] /rosout http://cmeintel-desktop:33404/
[rosmaster.master][INFO] 2016-06-04 15:13:55,275: -SERVICE [/rosout/get_loggers] /rosout rosrpc://cmeintel-desktop:58776
[rosmaster.master][INFO] 2016-06-04 15:13:55,276: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://cmeintel-desktop:58776
[rosmaster.main][INFO] 2016-06-04 15:13:55,334: keyboard interrupt, will exit
[rosmaster.main][INFO] 2016-06-04 15:13:55,334: stopping master...
[rospy.core][INFO] 2016-06-04 15:13:55,334: signal_shutdown [atexit]
