[rosmaster.main][INFO] 2016-06-09 13:35:00,025: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-09 13:35:00,026: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-09 13:35:00,026: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-09 13:35:00,027: Started XML-RPC server [http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-09 13:35:00,027: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-09 13:35:00,027: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-09 13:35:00,063: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 13:35:00,065: +PARAM [/roslaunch/uris/host_cmeintel_desktop__39572] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 13:35:00,184: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:42376/
[rosmaster.master][INFO] 2016-06-09 13:35:00,185: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:42376/
[rosmaster.master][INFO] 2016-06-09 13:35:00,187: +PUB [/rosout_agg] /rosout http://cmeintel-desktop:42376/
[rosmaster.master][INFO] 2016-06-09 13:35:00,191: +SUB [/rosout] /rosout http://cmeintel-desktop:42376/
[rosmaster.master][INFO] 2016-06-09 13:35:00,432: +PARAM [/gripper_right/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 13:35:00,432: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 13:35:00,432: +PARAM [/objects/chair_ikea_borje/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 13:35:00,432: +PARAM [/objects/lamp_ikea_arstid/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 13:35:00,432: +PARAM [/objects/box_wood/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 13:35:00,432: +PARAM [/objects/candle_thin/model] by /roslaunch
