[rosmaster.main][INFO] 2016-06-04 16:18:22,357: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-04 16:18:22,357: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-04 16:18:22,358: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-04 16:18:22,359: Started XML-RPC server [http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-04 16:18:22,359: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-04 16:18:22,359: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-04 16:18:22,425: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:18:22,426: +PARAM [/roslaunch/uris/host_cmeintel_desktop__32835] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:18:22,495: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:46135/
[rosmaster.master][INFO] 2016-06-04 16:18:22,496: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:46135/
[rosmaster.master][INFO] 2016-06-04 16:18:22,497: +PUB [/rosout_agg] /rosout http://cmeintel-desktop:46135/
[rosmaster.master][INFO] 2016-06-04 16:18:22,502: +SUB [/rosout] /rosout http://cmeintel-desktop:46135/
[rosmaster.master][INFO] 2016-06-04 16:18:22,758: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:18:22,758: +PARAM [/objects/chair_ikea_borje/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:18:22,758: +PARAM [/objects/lamp_ikea_arstid/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:18:22,758: +PARAM [/objects/box_wood/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:18:22,758: +PARAM [/objects/candle_thin/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:18:22,758: +PARAM [/objects/picture_family/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:18:22,758: +PARAM [/objects/bookcase/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:18:22,758: +PARAM [/image_flip_torso_cam3d_right/image_flip_torso_cam3d_right/display_warnings] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:18:22,759: +PARAM [/base/joint_group_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:18:22,759: +PARAM [/torso/frame_tracker/pid_trans_y/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:18:22,759: +PARAM [/torso/chain_base_link] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:18:22,759: +PARAM [/objects/salt/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:18:22,759: +PARAM [/objects/plant_floor_small/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:18:22,759: +PARAM [/torso/twist_controller/constraint_jla] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:18:22,759: +PARAM [/objects/plant_flower_white/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:18:22,759: +PARAM [/sensorring/joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:18:22,759: +PARAM [/head/twist_controller/beta] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:18:22,759: +PARAM [/objects/cabinet_diamondback/orientation] by /roslaunch
