[rosmaster.main][INFO] 2016-06-04 15:57:11,394: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-04 15:57:11,394: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-04 15:57:11,395: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-04 15:57:11,395: Started XML-RPC server [http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-04 15:57:11,395: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-04 15:57:11,395: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-04 15:57:11,455: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:57:11,456: +PARAM [/roslaunch/uris/host_cmeintel_desktop__38106] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:57:11,510: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:57:11,510: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:57:11,510: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:57:11,514: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:39384/
[rosmaster.master][INFO] 2016-06-04 15:57:11,515: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:39384/
[rosmaster.master][INFO] 2016-06-04 15:57:11,527: +SUB [/clock] /rosout http://cmeintel-desktop:39384/
[rosmaster.master][INFO] 2016-06-04 15:57:11,528: +PUB [/rosout_agg] /rosout http://cmeintel-desktop:39384/
[rosmaster.master][INFO] 2016-06-04 15:57:11,531: +SUB [/rosout] /rosout http://cmeintel-desktop:39384/
[rosmaster.master][INFO] 2016-06-04 15:57:11,712: +PUB [/rosout] /gazebo http://cmeintel-desktop:40501/
[rosmaster.master][INFO] 2016-06-04 15:57:11,713: +SERVICE [/gazebo/get_loggers] /gazebo http://cmeintel-desktop:40501/
[rosmaster.master][INFO] 2016-06-04 15:57:11,714: +SERVICE [/gazebo/set_logger_level] /gazebo http://cmeintel-desktop:40501/
[rosmaster.master][INFO] 2016-06-04 15:57:11,717: +SUB [/clock] /gazebo http://cmeintel-desktop:40501/
[rosmaster.master][INFO] 2016-06-04 15:57:11,795: publisherUpdate[/rosout] -> http://cmeintel-desktop:39384/
[rosmaster.master][INFO] 2016-06-04 15:57:12,516: +PUB [/clock] /gazebo http://cmeintel-desktop:40501/
[rosmaster.master][INFO] 2016-06-04 15:57:12,522: +SERVICE [/gazebo/spawn_gazebo_model] /gazebo http://cmeintel-desktop:40501/
[rosmaster.master][INFO] 2016-06-04 15:57:12,523: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://cmeintel-desktop:40501/
[rosmaster.master][INFO] 2016-06-04 15:57:12,523: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://cmeintel-desktop:40501/
[rosmaster.master][INFO] 2016-06-04 15:57:12,524: +SERVICE [/gazebo/delete_model] /gazebo http://cmeintel-desktop:40501/
[rosmaster.master][INFO] 2016-06-04 15:57:12,525: +SERVICE [/gazebo/get_model_properties] /gazebo http://cmeintel-desktop:40501/
[rosmaster.master][INFO] 2016-06-04 15:57:12,526: +SERVICE [/gazebo/get_model_state] /gazebo http://cmeintel-desktop:40501/
[rosmaster.master][INFO] 2016-06-04 15:57:12,527: +SERVICE [/gazebo/get_world_properties] /gazebo http://cmeintel-desktop:40501/
[rosmaster.master][INFO] 2016-06-04 15:57:12,528: +SERVICE [/gazebo/get_joint_properties] /gazebo http://cmeintel-desktop:40501/
