[rosmaster.main][INFO] 2016-06-09 15:29:57,635: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-09 15:29:57,636: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-09 15:29:57,637: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-09 15:29:57,637: Started XML-RPC server [http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-09 15:29:57,637: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-09 15:29:57,637: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-09 15:29:57,684: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:29:57,686: +PARAM [/roslaunch/uris/host_cmeintel_desktop__37021] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:29:57,798: +PARAM [/world_description] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:29:57,798: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:29:57,799: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:29:57,799: +PARAM [/world/elevator_left_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:29:57,799: +PARAM [/world/elevator_right_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:29:57,799: +PARAM [/world/elevator_button2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:29:57,799: +PARAM [/world/world_joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:29:57,799: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:33492/
[rosmaster.master][INFO] 2016-06-09 15:29:57,799: +PARAM [/world/elevator_left_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:29:57,800: +PARAM [/world/elevator_button1_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:29:57,800: +PARAM [/world/elevator_button2_joint_position_controller/type] by /roslaunch
