[rosmaster.main][INFO] 2016-06-04 15:14:32,283: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-04 15:14:32,283: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-04 15:14:32,284: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-04 15:14:32,284: Started XML-RPC server [http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-04 15:14:32,284: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-04 15:14:32,285: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-04 15:14:32,318: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:14:32,319: +PARAM [/roslaunch/uris/host_cmeintel_desktop__35110] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:14:32,388: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:14:32,388: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:14:32,388: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:14:32,393: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:38117/
[rosmaster.master][INFO] 2016-06-04 15:14:32,395: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:38117/
[rosmaster.master][INFO] 2016-06-04 15:14:32,402: +SUB [/clock] /rosout http://cmeintel-desktop:38117/
[rosmaster.master][INFO] 2016-06-04 15:14:32,403: +PUB [/rosout_agg] /rosout http://cmeintel-desktop:38117/
[rosmaster.master][INFO] 2016-06-04 15:14:32,406: +SUB [/rosout] /rosout http://cmeintel-desktop:38117/
[rosmaster.master][INFO] 2016-06-04 15:14:32,606: +PUB [/rosout] /gazebo http://cmeintel-desktop:34078/
[rosmaster.master][INFO] 2016-06-04 15:14:32,607: +SERVICE [/gazebo/get_loggers] /gazebo http://cmeintel-desktop:34078/
[rosmaster.master][INFO] 2016-06-04 15:14:32,607: +SERVICE [/gazebo/set_logger_level] /gazebo http://cmeintel-desktop:34078/
[rosmaster.master][INFO] 2016-06-04 15:14:32,611: +SUB [/clock] /gazebo http://cmeintel-desktop:34078/
[rosmaster.master][INFO] 2016-06-04 15:14:32,684: publisherUpdate[/rosout] -> http://cmeintel-desktop:38117/
[rosmaster.master][INFO] 2016-06-04 15:14:41,699: -PUB [/rosout_agg] /rosout http://cmeintel-desktop:38117/
[rosmaster.master][INFO] 2016-06-04 15:14:41,700: -SUB [/clock] /rosout http://cmeintel-desktop:38117/
[rosmaster.master][INFO] 2016-06-04 15:14:41,701: -SUB [/rosout] /rosout http://cmeintel-desktop:38117/
[rosmaster.master][INFO] 2016-06-04 15:14:41,702: -SERVICE [/rosout/get_loggers] /rosout rosrpc://cmeintel-desktop:43537
[rosmaster.master][INFO] 2016-06-04 15:14:41,703: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://cmeintel-desktop:43537
[rosmaster.main][INFO] 2016-06-04 15:14:41,720: keyboard interrupt, will exit
[rosmaster.main][INFO] 2016-06-04 15:14:41,720: stopping master...
[rospy.core][INFO] 2016-06-04 15:14:41,720: signal_shutdown [atexit]
