[rosmaster.main][INFO] 2016-06-08 17:33:03,555: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-08 17:33:03,555: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-08 17:33:03,556: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-08 17:33:03,556: Started XML-RPC server [http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-08 17:33:03,556: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-08 17:33:03,556: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-08 17:33:03,600: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,601: +PARAM [/roslaunch/uris/host_cmeintel_desktop__40725] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,715: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:37996/
[rosmaster.master][INFO] 2016-06-08 17:33:03,716: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:37996/
[rosmaster.master][INFO] 2016-06-08 17:33:03,717: +PUB [/rosout_agg] /rosout http://cmeintel-desktop:37996/
[rosmaster.master][INFO] 2016-06-08 17:33:03,721: +SUB [/rosout] /rosout http://cmeintel-desktop:37996/
[rosmaster.master][INFO] 2016-06-08 17:33:03,964: +PARAM [/gripper_right/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,964: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,964: +PARAM [/objects/chair_ikea_borje/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,964: +PARAM [/objects/lamp_ikea_arstid/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,964: +PARAM [/objects/box_wood/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,964: +PARAM [/objects/candle_thin/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,964: +PARAM [/objects/picture_family/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,964: +PARAM [/gripper_left/joint_group_position_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,965: +PARAM [/objects/bookcase/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,965: +PARAM [/arm_left/arm_left_2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,965: +PARAM [/base/joint_group_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,965: +PARAM [/arm_left/twist_controller/eps_truncation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,965: +PARAM [/gripper_right/gripper_right_finger_2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,965: +PARAM [/torso/frame_tracker/pid_trans_y/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,965: +PARAM [/torso/chain_base_link] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,965: +PARAM [/objects/salt/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,965: +PARAM [/arm_left/arm_left_1_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,965: +PARAM [/objects/plant_floor_small/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,965: +PARAM [/image_flip_sensorring_cam3d/image_flip_sensorring_cam3d/display_warnings] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,965: +PARAM [/torso/twist_controller/constraint_jla] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,966: +PARAM [/objects/plant_flower_white/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:33:03,966: +PARAM [/arm_right/frame_tracker/pid_trans_x/i_clamp] by /roslaunch
