[rosmaster.main][INFO] 2016-06-04 15:57:40,244: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-04 15:57:40,244: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-04 15:57:40,245: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-04 15:57:40,245: Started XML-RPC server [http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-04 15:57:40,245: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-04 15:57:40,245: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-04 15:57:40,316: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:57:40,317: +PARAM [/roslaunch/uris/host_cmeintel_desktop__46077] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:57:40,361: +PARAM [/world_description] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:57:40,362: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:57:40,362: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:57:40,362: +PARAM [/world/elevator_left_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:57:40,362: +PARAM [/world/elevator_right_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:57:40,363: +PARAM [/world/elevator_button2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:57:40,363: +PARAM [/world/world_joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:57:40,363: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:40254/
[rosmaster.master][INFO] 2016-06-04 15:57:40,363: +PARAM [/world/elevator_left_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:57:40,363: +PARAM [/world/elevator_button1_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:57:40,364: +PARAM [/world/elevator_button2_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:57:40,364: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:40254/
[rosmaster.master][INFO] 2016-06-04 15:57:40,364: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:57:40,364: +PARAM [/world/joint_names] by /roslaunch
