[rosmaster.main][INFO] 2016-06-23 15:28:07,818: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-23 15:28:07,818: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-23 15:28:07,819: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-23 15:28:07,819: Started XML-RPC server [http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-23 15:28:07,820: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-23 15:28:07,820: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-23 15:28:07,852: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-23 15:28:07,854: +PARAM [/roslaunch/uris/host_cmeintel_desktop__40494] by /roslaunch
[rosmaster.master][INFO] 2016-06-23 15:28:07,986: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2016-06-23 15:28:07,986: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-06-23 15:28:08,036: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:36646/
[rosmaster.master][INFO] 2016-06-23 15:28:08,037: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:36646/
[rosmaster.master][INFO] 2016-06-23 15:28:08,040: +PUB [/rosout_agg] /rosout http://cmeintel-desktop:36646/
[rosmaster.master][INFO] 2016-06-23 15:28:08,045: +SUB [/rosout] /rosout http://cmeintel-desktop:36646/
[rosmaster.master][INFO] 2016-06-23 15:28:08,393: +PUB [/rosout] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:37499/
[rosmaster.master][INFO] 2016-06-23 15:28:08,394: +PUB [/rosout] /ipa_pars/knowledge_parser_client_spawner http://cmeintel-desktop:44759/
[rosmaster.master][INFO] 2016-06-23 15:28:08,396: +SERVICE [/ipa_pars/knowledge_parser_server_spawner/get_loggers] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:37499/
[rosmaster.master][INFO] 2016-06-23 15:28:08,396: +SERVICE [/ipa_pars/knowledge_parser_client_spawner/get_loggers] /ipa_pars/knowledge_parser_client_spawner http://cmeintel-desktop:44759/
[rosmaster.master][INFO] 2016-06-23 15:28:08,397: +SERVICE [/ipa_pars/knowledge_parser_server_spawner/set_logger_level] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:37499/
[rosmaster.master][INFO] 2016-06-23 15:28:08,397: +SERVICE [/ipa_pars/knowledge_parser_client_spawner/set_logger_level] /ipa_pars/knowledge_parser_client_spawner http://cmeintel-desktop:44759/
[rosmaster.master][INFO] 2016-06-23 15:28:08,398: +PUB [/ipa_pars/knowledge_parser_server/status] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:37499/
[rosmaster.master][INFO] 2016-06-23 15:28:08,399: +PUB [/ipa_pars/knowledge_parser_server/goal] /ipa_pars/knowledge_parser_client_spawner http://cmeintel-desktop:44759/
[rosmaster.master][INFO] 2016-06-23 15:28:08,399: +PUB [/ipa_pars/knowledge_parser_server/result] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:37499/
[rosmaster.master][INFO] 2016-06-23 15:28:08,399: +PUB [/ipa_pars/knowledge_parser_server/cancel] /ipa_pars/knowledge_parser_client_spawner http://cmeintel-desktop:44759/
[rosmaster.master][INFO] 2016-06-23 15:28:08,400: +PUB [/ipa_pars/knowledge_parser_server/feedback] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:37499/
[rosmaster.master][INFO] 2016-06-23 15:28:08,401: +SUB [/ipa_pars/knowledge_parser_server/status] /ipa_pars/knowledge_parser_client_spawner http://cmeintel-desktop:44759/
[rosmaster.master][INFO] 2016-06-23 15:28:08,402: +SUB [/ipa_pars/knowledge_parser_server/goal] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:37499/
[rosmaster.master][INFO] 2016-06-23 15:28:08,403: +SUB [/ipa_pars/knowledge_parser_server/result] /ipa_pars/knowledge_parser_client_spawner http://cmeintel-desktop:44759/
[rosmaster.master][INFO] 2016-06-23 15:28:08,404: +SUB [/ipa_pars/knowledge_parser_server/cancel] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:37499/
[rosmaster.master][INFO] 2016-06-23 15:28:08,404: +SUB [/ipa_pars/knowledge_parser_server/feedback] /ipa_pars/knowledge_parser_client_spawner http://cmeintel-desktop:44759/
[rosmaster.master][INFO] 2016-06-23 15:28:08,419: publisherUpdate[/rosout] -> http://cmeintel-desktop:36646/
[rosmaster.master][INFO] 2016-06-23 15:28:08,421: publisherUpdate[/rosout] -> http://cmeintel-desktop:36646/
[rosmaster.master][INFO] 2016-06-23 15:28:09,713: -SUB [/ipa_pars/knowledge_parser_server/result] /ipa_pars/knowledge_parser_client_spawner http://cmeintel-desktop:44759/
