[rosmaster.main][INFO] 2016-06-09 15:23:24,265: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-09 15:23:24,266: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-09 15:23:24,266: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-09 15:23:24,266: Started XML-RPC server [http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-09 15:23:24,267: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-09 15:23:24,267: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-09 15:23:24,315: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,316: +PARAM [/roslaunch/uris/host_cmeintel_desktop__35779] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,418: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:46044/
[rosmaster.master][INFO] 2016-06-09 15:23:24,418: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:46044/
[rosmaster.master][INFO] 2016-06-09 15:23:24,420: +PUB [/rosout_agg] /rosout http://cmeintel-desktop:46044/
[rosmaster.master][INFO] 2016-06-09 15:23:24,422: +SUB [/rosout] /rosout http://cmeintel-desktop:46044/
[rosmaster.master][INFO] 2016-06-09 15:23:24,631: +PARAM [/gripper_right/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,631: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,632: +PARAM [/objects/chair_ikea_borje/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,632: +PARAM [/objects/lamp_ikea_arstid/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,632: +PARAM [/objects/box_wood/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,632: +PARAM [/objects/candle_thin/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,632: +PARAM [/objects/picture_family/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,632: +PARAM [/gripper_left/joint_group_position_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,632: +PARAM [/objects/bookcase/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,632: +PARAM [/arm_left/arm_left_2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,632: +PARAM [/base/joint_group_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,632: +PARAM [/arm_left/twist_controller/eps_truncation] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,632: +PARAM [/gripper_right/gripper_right_finger_2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,632: +PARAM [/torso/frame_tracker/pid_trans_y/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,632: +PARAM [/torso/chain_base_link] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,633: +PARAM [/objects/salt/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,633: +PARAM [/arm_left/arm_left_1_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,633: +PARAM [/objects/plant_floor_small/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,633: +PARAM [/image_flip_sensorring_cam3d/image_flip_sensorring_cam3d/display_warnings] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,633: +PARAM [/torso/twist_controller/constraint_jla] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,633: +PARAM [/objects/plant_flower_white/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,633: +PARAM [/arm_right/frame_tracker/pid_trans_x/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,633: +PARAM [/arm_right/arm_right_5_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,633: +PARAM [/sensorring/joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,633: +PARAM [/script_server/arm_right/joint_names] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,633: +PARAM [/script_server/gripper_right/action_name] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,633: +PARAM [/objects/cabinet_diamondback/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,633: +PARAM [/arm_left/arm_left_2_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,633: +PARAM [/base_laser_right/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,634: +PARAM [/objects/basmati_rice/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,634: +PARAM [/script_server/sensorring/back] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,634: +PARAM [/objects/cabinet_diamondback/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,634: +PARAM [/arm_right/twist_controller/k_H_jla] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,634: +PARAM [/arm_left/joint_trajectory_controller/constraints/arm_left_5_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,634: +PARAM [/arm_left/twist_controller/k_H] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,634: +PARAM [/gripper_right/joint_trajectory_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,634: +PARAM [/image_flip_torso_cam3d_right/image_flip_torso_cam3d_right/flip_pointcloud] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,634: +PARAM [/torso/joint_trajectory_controller/constraints/torso_3_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,634: +PARAM [/script_server/gripper_left/action_name] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,634: +PARAM [/base_laser_right/scan_cycle_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,634: +PARAM [/objects/cabinet_ikea_malm_big/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,634: +PARAM [/objects/candle_thick/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,634: +PARAM [/objects/shelf_white/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,635: +PARAM [/script_server/arm_right/wave3] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,635: +PARAM [/script_server/light_torso/red] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,635: +PARAM [/arm_right/joint_trajectory_controller/constraints/arm_right_6_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,635: +PARAM [/script_server/torso/service_ns] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,635: +PARAM [/diagnostic_aggregator/analyzers/sensors/analyzers/battery/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,635: +PARAM [/world/world_joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,635: +PARAM [/base/velocity_smoother/decel_factor_safe] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,635: +PARAM [/arm_right/twist_controller/kinematic_extension] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,635: +PARAM [/arm_left/joint_trajectory_controller/constraints/arm_left_7_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,635: +PARAM [/objects/book_heilkrauter/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,635: +PARAM [/objects/shelf_white/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,635: +PARAM [/objects/tomato_soup/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,635: +PARAM [/objects/cabinet_living_room/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,635: +PARAM [/objects/bed/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,636: +PARAM [/objects/chair_wicker/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,636: +PARAM [/objects/chair_ikea_borje2/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,636: +PARAM [/diagnostic_aggregator/analyzers/motors/analyzers/base/path] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,636: +PARAM [/arm_left/twist_controller/numerical_filtering] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,636: +PARAM [/diagnostic_aggregator/analyzers/computers/analyzers/s1/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,636: +PARAM [/torso/twist_controller/priority_jla] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,636: +PARAM [/image_flip_torso_cam3d_right/image_flip_torso_cam3d_right/display_warnings] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,636: +PARAM [/objects/couch2/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,636: +PARAM [/gripper_left/joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,636: +PARAM [/arm_left/arm_left_6_joint_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,636: +PARAM [/base/joint_group_velocity_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,636: +PARAM [/objects/chair_ikea_borje/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,636: +PARAM [/objects/lamp_ikea_arstid/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,636: +PARAM [/base_laser_right/port] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,637: +PARAM [/gripper_right/joint_trajectory_controller/constraints/gripper_right_finger_1_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,637: +PARAM [/objects/plant_pot_purple2/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,637: +PARAM [/arm_left/frame_tracker/cart_min_dist_threshold_rot] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:23:24,637: +PARAM [/arm_left/frame_tracker/pid_trans_y/i] by /roslaunch
