[roslaunch][INFO] 2016-06-09 11:55:53,611: Checking log directory for disk usage. This may take awhile.
Press Ctrl-C to interrupt
[roslaunch][INFO] 2016-06-09 11:55:56,073: Done checking log file disk usage. Usage is <1GB.
[roslaunch][INFO] 2016-06-09 11:55:56,074: roslaunch starting with args ['/opt/ros/indigo/bin/roslaunch', 'cob_bringup_sim', 'robot.launch']
[roslaunch][INFO] 2016-06-09 11:55:56,074: roslaunch env is {'ROBOT': 'cob4-2', 'LC_PAPER': 'de_DE.UTF-8', 'SHELL': '/bin/bash', 'XDG_DATA_DIRS': '/usr/share/ubuntu:/usr/share/gnome:/usr/local/share/:/usr/share/', 'MANDATORY_PATH': '/usr/share/gconf/ubuntu.mandatory.path', 'TERMINATOR_UUID': 'urn:uuid:1e7d9535-b128-41ff-b2f4-6efaea08ae5d', 'COMPIZ_CONFIG_PROFILE': 'ubuntu', 'JOB': 'dbus', 'TEXTDOMAIN': 'im-config', 'XMODIFIERS': '@im=ibus', 'SELINUX_INIT': 'YES', 'XDG_RUNTIME_DIR': '/run/user/1000', 'LC_ADDRESS': 'de_DE.UTF-8', 'PYTHONPATH': '/home/cme-intel/git/catkin_ws/devel/lib/python2.7/dist-packages:/opt/ros/indigo/lib/python2.7/dist-packages', 'COMPIZ_BIN_PATH': '/usr/bin/', 'ROS_ROOT': '/opt/ros/indigo/share/ros', 'XDG_SESSION_ID': 'c2', 'DBUS_SESSION_BUS_ADDRESS': 'unix:abstract=/tmp/dbus-jJs6cWqVHt', 'ORBIT_SOCKETDIR': '/tmp/orbit-cme-intel', 'DEFAULTS_PATH': '/usr/share/gconf/ubuntu.default.path', 'DESKTOP_SESSION': 'ubuntu', 'GTK_MODULES': 'overlay-scrollbar:unity-gtk-module', 'INSTANCE': '', 'LC_NAME': 'de_DE.UTF-8', 'XDG_MENU_PREFIX': 'gnome-', 'LS_COLORS': 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arj=01;31:*.taz=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lz=01;31:*.xz=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.jpg=01;35:*.jpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.axv=01;35:*.anx=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.axa=00;36:*.oga=00;36:*.spx=00;36:*.xspf=00;36:', 'LC_NUMERIC': 'C', 'GNOME_DESKTOP_SESSION_ID': 'this-is-deprecated', 'LESSOPEN': '| /usr/bin/lesspipe %s', 'CPATH': '/home/cme-intel/git/catkin_ws/devel/include:/opt/ros/indigo/include', 'USER': 'cme-intel', 'XDG_VTNR': '7', 'CMAKE_PREFIX_PATH': '/home/cme-intel/git/catkin_ws/devel:/opt/ros/indigo', 'XAUTHORITY': '/home/cme-intel/.Xauthority', 'LANGUAGE': 'en_US', 'SESSION_MANAGER': 'local/cmeintel-desktop:@/tmp/.ICE-unix/2116,unix/cmeintel-desktop:/tmp/.ICE-unix/2116', 'SHLVL': '1', 'QT_QPA_PLATFORMTHEME': 'appmenu-qt5', 'LD_LIBRARY_PATH': '/home/cme-intel/git/catkin_ws/devel/lib:/opt/ros/indigo/lib/x86_64-linux-gnu:/opt/ros/indigo/lib', 'CLUTTER_IM_MODULE': 'xim', 'WINDOWID': '58720260', 'GPG_AGENT_INFO': '/run/user/1000/keyring-Yrg7jo/gpg:0:1', 'GDMSESSION': 'ubuntu', 'PKG_CONFIG_PATH': '/home/cme-intel/git/catkin_ws/devel/lib/pkgconfig:/opt/ros/indigo/lib/x86_64-linux-gnu/pkgconfig:/opt/ros/indigo/lib/pkgconfig', 'ROS_PACKAGE_PATH': '/home/cme-intel/git/catkin_ws/src:/opt/ros/indigo/share:/opt/ros/indigo/stacks', '_': '/opt/ros/indigo/bin/roslaunch', 'GTK_IM_MODULE': 'ibus', 'XDG_CONFIG_DIRS': '/etc/xdg/xdg-ubuntu:/usr/share/upstart/xdg:/etc/xdg', 'ROBOT_ENV': 'ipa-apartment', 'ROS_MASTER_URI': 'http://localhost:11311', 'COLORTERM': 'gnome-terminal', 'LC_TIME': 'de_DE.UTF-8', 'XDG_GREETER_DATA_DIR': '/var/lib/lightdm-data/cme-intel', 'QT4_IM_MODULE': 'ibus', 'XDG_SEAT_PATH': '/org/freedesktop/DisplayManager/Seat0', 'HOME': '/home/cme-intel', 'ROS_LOG_FILENAME': '/home/cme-intel/.ros/log/5a872bbe-2e28-11e6-8707-bc5ff47c434e/roslaunch-cmeintel-desktop-3005.log', 'LANG': 'en_US.UTF-8', 'LC_MONETARY': 'de_DE.UTF-8', 'SESSION': 'ubuntu', 'LC_IDENTIFICATION': 'de_DE.UTF-8', 'XDG_CURRENT_DESKTOP': 'Unity', 'LESSCLOSE': '/usr/bin/lesspipe %s %s', 'GNOME_KEYRING_PID': '1852', 'ROS_ETC_DIR': '/opt/ros/indigo/etc/ros', 'ROS_DISTRO': 'indigo', 'ROSLISP_PACKAGE_DIRECTORIES': '/home/cme-intel/git/catkin_ws/devel/share/common-lisp', 'QT_IM_MODULE': 'ibus', 'LOGNAME': 'cme-intel', 'XDG_SEAT': 'seat0', 'GNOME_KEYRING_CONTROL': '/run/user/1000/keyring-Yrg7jo', 'PATH': '/opt/ros/indigo/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games', 'TERM': 'xterm', 'XDG_SESSION_PATH': '/org/freedesktop/DisplayManager/Session0', 'SESSIONTYPE': 'gnome-session', 'IM_CONFIG_PHASE': '1', 'GIO_LAUNCHED_DESKTOP_FILE_PID': '2809', 'GIO_LAUNCHED_DESKTOP_FILE': '/usr/share/applications/terminator.desktop', 'SSH_AUTH_SOCK': '/run/user/1000/keyring-Yrg7jo/ssh', 'TEXTDOMAINDIR': '/usr/share/locale/', 'UPSTART_SESSION': 'unix:abstract=/com/ubuntu/upstart-session/1000/1892', 'DISPLAY': ':0', 'GDM_LANG': 'en_US', 'LC_TELEPHONE': 'de_DE.UTF-8', 'LC_MEASUREMENT': 'de_DE.UTF-8', 'PWD': '/home/cme-intel'}
[roslaunch][INFO] 2016-06-09 11:55:56,074: starting in server mode
[roslaunch.parent][INFO] 2016-06-09 11:55:56,075: starting roslaunch parent run
[roslaunch][INFO] 2016-06-09 11:55:56,104: loading roscore config file /opt/ros/indigo/etc/ros/roscore.xml
[roslaunch][INFO] 2016-06-09 11:55:56,294: Added core node of type [rosout/rosout] in namespace [/]
[roslaunch.config][INFO] 2016-06-09 11:55:56,294: loading config file /opt/ros/indigo/share/cob_bringup_sim/launch/robot.launch
[roslaunch][INFO] 2016-06-09 11:55:56,794: Added node of type [gazebo_ros/gzserver] in namespace [/]
[roslaunch][INFO] 2016-06-09 11:55:56,794: Added node of type [gazebo_ros/gzclient] in namespace [/]
[roslaunch][INFO] 2016-06-09 11:55:58,023: Added node of type [gazebo_ros/spawn_model] in namespace [/]
[roslaunch][INFO] 2016-06-09 11:55:58,023: Added node of type [robot_state_publisher/robot_state_publisher] in namespace [/]
[roslaunch][INFO] 2016-06-09 11:55:58,095: Added node of type [controller_manager/controller_manager] in namespace [/world/]
[roslaunch][INFO] 2016-06-09 11:55:58,095: Added node of type [cob_gazebo_worlds/tf_publisher.py] in namespace [/]
[roslaunch][INFO] 2016-06-09 11:55:58,160: Added node of type [controller_manager/controller_manager] in namespace [/world/]
[roslaunch][INFO] 2016-06-09 11:55:58,161: Added node of type [cob_gazebo_worlds/elevator.py] in namespace [/]
[roslaunch][INFO] 2016-06-09 11:56:01,100: Added node of type [gazebo_ros/spawn_model] in namespace [/]
[roslaunch][INFO] 2016-06-09 11:56:01,224: Added node of type [robot_state_publisher/robot_state_publisher] in namespace [/]
[roslaunch][INFO] 2016-06-09 11:56:01,226: Added node of type [joint_state_publisher/joint_state_publisher] in namespace [/]
[roslaunch][INFO] 2016-06-09 11:56:01,226: Added node of type [cob_controller_configuration_gazebo/gazebo_services.py] in namespace [/base/]
[roslaunch][INFO] 2016-06-09 11:56:01,288: Added node of type [controller_manager/controller_manager] in namespace [/base/]
[roslaunch][INFO] 2016-06-09 11:56:01,336: Added node of type [twist_mux/twist_mux] in namespace [/base/]
[roslaunch][INFO] 2016-06-09 11:56:01,336: Added node of type [twist_mux/twist_marker] in namespace [/base/]
[roslaunch][INFO] 2016-06-09 11:56:01,376: Added node of type [cob_base_velocity_smoother/velocity_smoother] in namespace [/base/]
[roslaunch][INFO] 2016-06-09 11:56:01,414: Added node of type [cob_sick_s300/cob_scan_filter] in namespace [/base_laser_front/]
[roslaunch][INFO] 2016-06-09 11:56:01,450: Added node of type [cob_sick_s300/cob_scan_filter] in namespace [/base_laser_left/]
[roslaunch][INFO] 2016-06-09 11:56:01,486: Added node of type [cob_sick_s300/cob_scan_filter] in namespace [/base_laser_right/]
[roslaunch][INFO] 2016-06-09 11:56:01,555: Added node of type [cob_scan_unifier/scan_unifier_node] in namespace [/]
[roslaunch][INFO] 2016-06-09 11:56:01,590: Added node of type [cob_relayboard/relayboard_sim.py] in namespace [/]
[roslaunch][INFO] 2016-06-09 11:56:01,590: Added node of type [cob_controller_configuration_gazebo/gazebo_services.py] in namespace [/torso/]
[roslaunch][INFO] 2016-06-09 11:56:01,645: Added node of type [controller_manager/controller_manager] in namespace [/torso/]
[roslaunch][INFO] 2016-06-09 11:56:01,646: Added node of type [cob_control_mode_adapter/cob_control_mode_adapter_node] in namespace [/torso/]
[roslaunch][INFO] 2016-06-09 11:56:01,698: Added node of type [cob_twist_controller/cob_twist_controller_node] in namespace [/torso/]
[roslaunch][INFO] 2016-06-09 11:56:01,698: Added node of type [cob_frame_tracker/cob_frame_tracker_node] in namespace [/torso/]
[roslaunch][INFO] 2016-06-09 11:56:01,699: Added node of type [cob_frame_tracker/interactive_frame_target_node] in namespace [/torso/]
[roslaunch][INFO] 2016-06-09 11:56:01,699: Added node of type [cob_obstacle_distance/cob_obstacle_distance] in namespace [/torso/]
[roslaunch][INFO] 2016-06-09 11:56:01,699: Added node of type [cob_controller_configuration_gazebo/gazebo_services.py] in namespace [/sensorring/]
[roslaunch][INFO] 2016-06-09 11:56:01,738: Added node of type [controller_manager/controller_manager] in namespace [/sensorring/]
[roslaunch][INFO] 2016-06-09 11:56:01,738: Added node of type [cob_control_mode_adapter/cob_control_mode_adapter_node] in namespace [/sensorring/]
[roslaunch][INFO] 2016-06-09 11:56:01,739: Added node of type [cob_controller_configuration_gazebo/gazebo_services.py] in namespace [/arm_left/]
[roslaunch][INFO] 2016-06-09 11:56:01,788: Added node of type [controller_manager/controller_manager] in namespace [/arm_left/]
[roslaunch][INFO] 2016-06-09 11:56:01,788: Added node of type [cob_control_mode_adapter/cob_control_mode_adapter_node] in namespace [/arm_left/]
[roslaunch][INFO] 2016-06-09 11:56:01,835: Added node of type [cob_twist_controller/cob_twist_controller_node] in namespace [/arm_left/]
[roslaunch][INFO] 2016-06-09 11:56:01,835: Added node of type [cob_frame_tracker/cob_frame_tracker_node] in namespace [/arm_left/]
[roslaunch][INFO] 2016-06-09 11:56:01,836: Added node of type [cob_frame_tracker/interactive_frame_target_node] in namespace [/arm_left/]
[roslaunch][INFO] 2016-06-09 11:56:01,836: Added node of type [cob_obstacle_distance/cob_obstacle_distance] in namespace [/arm_left/]
[roslaunch][INFO] 2016-06-09 11:56:01,836: Added node of type [cob_controller_configuration_gazebo/gazebo_services.py] in namespace [/arm_right/]
[roslaunch][INFO] 2016-06-09 11:56:01,885: Added node of type [controller_manager/controller_manager] in namespace [/arm_right/]
[roslaunch][INFO] 2016-06-09 11:56:01,886: Added node of type [cob_control_mode_adapter/cob_control_mode_adapter_node] in namespace [/arm_right/]
[roslaunch][INFO] 2016-06-09 11:56:01,933: Added node of type [cob_twist_controller/cob_twist_controller_node] in namespace [/arm_right/]
[roslaunch][INFO] 2016-06-09 11:56:01,933: Added node of type [cob_frame_tracker/cob_frame_tracker_node] in namespace [/arm_right/]
[roslaunch][INFO] 2016-06-09 11:56:01,933: Added node of type [cob_frame_tracker/interactive_frame_target_node] in namespace [/arm_right/]
[roslaunch][INFO] 2016-06-09 11:56:01,934: Added node of type [cob_obstacle_distance/cob_obstacle_distance] in namespace [/arm_right/]
[roslaunch][INFO] 2016-06-09 11:56:01,934: Added node of type [cob_controller_configuration_gazebo/gazebo_services.py] in namespace [/gripper_left/]
[roslaunch][INFO] 2016-06-09 11:56:01,973: Added node of type [controller_manager/controller_manager] in namespace [/gripper_left/]
[roslaunch][INFO] 2016-06-09 11:56:01,974: Added node of type [cob_control_mode_adapter/cob_control_mode_adapter_node] in namespace [/gripper_left/]
[roslaunch][INFO] 2016-06-09 11:56:01,974: Added node of type [cob_controller_configuration_gazebo/gazebo_services.py] in namespace [/gripper_right/]
[roslaunch][INFO] 2016-06-09 11:56:02,013: Added node of type [controller_manager/controller_manager] in namespace [/gripper_right/]
[roslaunch][INFO] 2016-06-09 11:56:02,013: Added node of type [cob_control_mode_adapter/cob_control_mode_adapter_node] in namespace [/gripper_right/]
