[rosmaster.main][INFO] 2016-06-06 20:56:54,832: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-06 20:56:54,832: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-06 20:56:54,833: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-06 20:56:54,834: Started XML-RPC server [http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-06 20:56:54,834: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-06 20:56:54,834: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-06 20:56:54,940: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-06 20:56:54,942: +PARAM [/roslaunch/uris/host_cmeintel_desktop__40055] by /roslaunch
[rosmaster.master][INFO] 2016-06-06 20:56:55,049: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:41864/
[rosmaster.master][INFO] 2016-06-06 20:56:55,050: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:41864/
[rosmaster.master][INFO] 2016-06-06 20:56:55,051: +PUB [/rosout_agg] /rosout http://cmeintel-desktop:41864/
[rosmaster.master][INFO] 2016-06-06 20:56:55,056: +SUB [/rosout] /rosout http://cmeintel-desktop:41864/
[rosmaster.master][INFO] 2016-06-06 20:56:55,307: +PARAM [/gripper_right/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2016-06-06 20:56:55,307: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-06 20:56:55,307: +PARAM [/objects/chair_ikea_borje/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-06 20:56:55,307: +PARAM [/objects/lamp_ikea_arstid/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-06 20:56:55,307: +PARAM [/objects/box_wood/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-06 20:56:55,307: +PARAM [/objects/candle_thin/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-06 20:56:55,307: +PARAM [/objects/picture_family/orientation] by /roslaunch
