[roslaunch][INFO] 2016-06-06 20:56:49,468: Checking log directory for disk usage. This may take awhile.
Press Ctrl-C to interrupt
[roslaunch][INFO] 2016-06-06 20:56:50,147: Done checking log file disk usage. Usage is <1GB.
[roslaunch][INFO] 2016-06-06 20:56:50,147: roslaunch starting with args ['/opt/ros/indigo/bin/roslaunch', 'cob_bringup_sim', 'robot.launch']
[roslaunch][INFO] 2016-06-06 20:56:50,148: roslaunch env is {'LC_NUMERIC': 'C', 'MANDATORY_PATH': '/usr/share/gconf/ubuntu.mandatory.path', 'ROS_DISTRO': 'indigo', 'ROS_LOG_FILENAME': '/home/cme-intel/.ros/log/6c8b0cd4-2c18-11e6-878e-bc5ff47c434e/roslaunch-cmeintel-desktop-5071.log', 'XDG_GREETER_DATA_DIR': '/var/lib/lightdm-data/cme-intel', 'GNOME_DESKTOP_SESSION_ID': 'this-is-deprecated', 'PKG_CONFIG_PATH': '/home/cme-intel/git/catkin_ws/devel/lib/pkgconfig:/opt/ros/indigo/lib/x86_64-linux-gnu/pkgconfig:/opt/ros/indigo/lib/pkgconfig', 'ROBOT': 'cob4-2', 'LESSOPEN': '| /usr/bin/lesspipe %s', 'XDG_VTNR': '7', 'ROSLISP_PACKAGE_DIRECTORIES': '/home/cme-intel/git/catkin_ws/devel/share/common-lisp', 'CPATH': '/home/cme-intel/git/catkin_ws/devel/include:/opt/ros/indigo/include', 'LOGNAME': 'cme-intel', 'USER': 'cme-intel', 'PATH': '/opt/ros/indigo/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games', 'LC_PAPER': 'de_DE.UTF-8', 'GNOME_KEYRING_CONTROL': '/run/user/1000/keyring-p26vMm', 'CMAKE_PREFIX_PATH': '/home/cme-intel/git/catkin_ws/devel:/opt/ros/indigo', 'LD_LIBRARY_PATH': '/home/cme-intel/git/catkin_ws/devel/lib:/opt/ros/indigo/lib/x86_64-linux-gnu:/opt/ros/indigo/lib', 'LANG': 'en_US.UTF-8', 'TERM': 'xterm', 'SHELL': '/bin/bash', 'XDG_SESSION_PATH': '/org/freedesktop/DisplayManager/Session0', 'XAUTHORITY': '/home/cme-intel/.Xauthority', 'LANGUAGE': 'en_US', 'COMPIZ_CONFIG_PROFILE': 'ubuntu', 'LC_MONETARY': 'de_DE.UTF-8', 'LESSCLOSE': '/usr/bin/lesspipe %s %s', 'GTK_IM_MODULE': 'ibus', 'QT_QPA_PLATFORMTHEME': 'appmenu-qt5', 'TERMINATOR_UUID': 'urn:uuid:32ce116d-740d-4f96-b3d6-84caf31d22c7', 'JOB': 'gnome-session', 'TEXTDOMAIN': 'im-config', 'UPSTART_INSTANCE': '', 'CLUTTER_IM_MODULE': 'xim', 'WINDOWID': '65011716', '_': '/opt/ros/indigo/bin/roslaunch', 'SESSIONTYPE': 'gnome-session', 'XMODIFIERS': '@im=ibus', 'ROS_ETC_DIR': '/opt/ros/indigo/etc/ros', 'GPG_AGENT_INFO': '/run/user/1000/keyring-p26vMm/gpg:0:1', 'HOME': '/home/cme-intel', 'QT4_IM_MODULE': 'ibus', 'SELINUX_INIT': 'YES', 'SHLVL': '1', 'XDG_RUNTIME_DIR': '/run/user/1000', 'INSTANCE': 'Unity', 'LC_ADDRESS': 'de_DE.UTF-8', 'PYTHONPATH': '/home/cme-intel/git/catkin_ws/devel/lib/python2.7/dist-packages:/opt/ros/indigo/lib/python2.7/dist-packages', 'SSH_AUTH_SOCK': '/run/user/1000/keyring-p26vMm/ssh', 'UPSTART_EVENTS': 'started starting', 'ROS_ROOT': '/opt/ros/indigo/share/ros', 'GDMSESSION': 'ubuntu', 'IM_CONFIG_PHASE': '1', 'UPSTART_JOB': 'unity-settings-daemon', 'TEXTDOMAINDIR': '/usr/share/locale/', 'GNOME_KEYRING_PID': '1885', 'XDG_SEAT_PATH': '/org/freedesktop/DisplayManager/Seat0', 'ROS_PACKAGE_PATH': '/home/cmeintel/git/catkin_ws/src:/opt/ros/indigo/share:/opt/ros/indigo/stacks', 'XDG_CURRENT_DESKTOP': 'Unity', 'XDG_SESSION_ID': 'c2', 'DBUS_SESSION_BUS_ADDRESS': 'unix:abstract=/tmp/dbus-C7FSIHRTi5', 'ORBIT_SOCKETDIR': '/tmp/orbit-cme-intel', 'DEFAULTS_PATH': '/usr/share/gconf/ubuntu.default.path', 'LC_IDENTIFICATION': 'de_DE.UTF-8', 'DESKTOP_SESSION': 'ubuntu', 'UPSTART_SESSION': 'unix:abstract=/com/ubuntu/upstart-session/1000/1926', 'XDG_CONFIG_DIRS': '/etc/xdg/xdg-ubuntu:/usr/share/upstart/xdg:/etc/xdg', 'GTK_MODULES': 'overlay-scrollbar:unity-gtk-module', 'LC_NAME': 'de_DE.UTF-8', 'GDM_LANG': 'en_US', 'LC_TELEPHONE': 'de_DE.UTF-8', 'ROBOT_ENV': 'ipa-apartment', 'LC_MEASUREMENT': 'de_DE.UTF-8', 'PWD': '/home/cme-intel/git/catkin_ws/src/ipa_pars/ipa_pars_main/scripts', 'QT_IM_MODULE': 'ibus', 'ROS_MASTER_URI': 'http://localhost:11311', 'COLORTERM': 'gnome-terminal', 'DISPLAY': ':0', 'LC_TIME': 'de_DE.UTF-8', 'LS_COLORS': 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arj=01;31:*.taz=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lz=01;31:*.xz=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.jpg=01;35:*.jpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.axv=01;35:*.anx=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.axa=00;36:*.oga=00;36:*.spx=00;36:*.xspf=00;36:', 'XDG_DATA_DIRS': '/usr/share/ubuntu:/usr/share/gnome:/usr/local/share/:/usr/share/', 'XDG_SEAT': 'seat0'}
[roslaunch][INFO] 2016-06-06 20:56:50,148: starting in server mode
[roslaunch.parent][INFO] 2016-06-06 20:56:50,148: starting roslaunch parent run
[roslaunch][INFO] 2016-06-06 20:56:50,163: loading roscore config file /opt/ros/indigo/etc/ros/roscore.xml
[roslaunch][INFO] 2016-06-06 20:56:50,355: Added core node of type [rosout/rosout] in namespace [/]
[roslaunch.config][INFO] 2016-06-06 20:56:50,355: loading config file /opt/ros/indigo/share/cob_bringup_sim/launch/robot.launch
[roslaunch][INFO] 2016-06-06 20:56:50,620: Added node of type [gazebo_ros/gzserver] in namespace [/]
