[rosmaster.main][INFO] 2016-06-04 16:20:15,498: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-04 16:20:15,498: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-04 16:20:15,499: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-04 16:20:15,499: Started XML-RPC server [http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-04 16:20:15,499: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-04 16:20:15,499: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-04 16:20:15,558: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:20:15,560: +PARAM [/roslaunch/uris/host_cmeintel_desktop__45280] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:20:15,605: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:39015/
[rosmaster.master][INFO] 2016-06-04 16:20:15,606: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:39015/
[rosmaster.master][INFO] 2016-06-04 16:20:15,607: +PUB [/rosout_agg] /rosout http://cmeintel-desktop:39015/
[rosmaster.master][INFO] 2016-06-04 16:20:15,610: +SUB [/rosout] /rosout http://cmeintel-desktop:39015/
[rosmaster.master][INFO] 2016-06-04 16:20:15,804: +PARAM [/gripper_right/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:20:15,804: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:20:15,804: +PARAM [/objects/chair_ikea_borje/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:20:15,804: +PARAM [/objects/lamp_ikea_arstid/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:20:15,805: +PARAM [/objects/box_wood/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:20:15,805: +PARAM [/objects/candle_thin/model] by /roslaunch
