[rosmaster.main][INFO] 2016-06-04 15:51:41,147: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-04 15:51:41,148: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-04 15:51:41,148: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-04 15:51:41,149: Started XML-RPC server [http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-04 15:51:41,149: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-04 15:51:41,149: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-04 15:51:41,178: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:51:41,179: +PARAM [/roslaunch/uris/host_cmeintel_desktop__34439] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:51:41,228: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:51:41,228: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:51:41,229: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 15:51:41,233: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:46348/
[rosmaster.master][INFO] 2016-06-04 15:51:41,234: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:46348/
[rosmaster.master][INFO] 2016-06-04 15:51:41,239: +SUB [/clock] /rosout http://cmeintel-desktop:46348/
[rosmaster.master][INFO] 2016-06-04 15:51:41,239: +PUB [/rosout_agg] /rosout http://cmeintel-desktop:46348/
[rosmaster.master][INFO] 2016-06-04 15:51:41,243: +SUB [/rosout] /rosout http://cmeintel-desktop:46348/
[rosmaster.master][INFO] 2016-06-04 15:51:41,514: +PUB [/rosout] /gazebo http://cmeintel-desktop:37491/
[rosmaster.master][INFO] 2016-06-04 15:51:41,515: +SERVICE [/gazebo/get_loggers] /gazebo http://cmeintel-desktop:37491/
[rosmaster.master][INFO] 2016-06-04 15:51:41,515: +SERVICE [/gazebo/set_logger_level] /gazebo http://cmeintel-desktop:37491/
[rosmaster.master][INFO] 2016-06-04 15:51:41,519: +SUB [/clock] /gazebo http://cmeintel-desktop:37491/
[rosmaster.master][INFO] 2016-06-04 15:51:41,548: publisherUpdate[/rosout] -> http://cmeintel-desktop:46348/
[rosmaster.master][INFO] 2016-06-04 15:51:48,960: -PUB [/rosout_agg] /rosout http://cmeintel-desktop:46348/
[rosmaster.master][INFO] 2016-06-04 15:51:48,961: -SUB [/clock] /rosout http://cmeintel-desktop:46348/
[rosmaster.master][INFO] 2016-06-04 15:51:48,961: -SUB [/rosout] /rosout http://cmeintel-desktop:46348/
[rosmaster.master][INFO] 2016-06-04 15:51:48,962: -SERVICE [/rosout/get_loggers] /rosout rosrpc://cmeintel-desktop:34819
[rosmaster.master][INFO] 2016-06-04 15:51:48,963: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://cmeintel-desktop:34819
[rosmaster.main][INFO] 2016-06-04 15:51:48,980: keyboard interrupt, will exit
[rosmaster.main][INFO] 2016-06-04 15:51:48,980: stopping master...
[rospy.core][INFO] 2016-06-04 15:51:48,980: signal_shutdown [atexit]
