[rosmaster.main][INFO] 2016-06-08 13:38:28,191: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-08 13:38:28,191: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-08 13:38:28,192: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-08 13:38:28,193: Started XML-RPC server [http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-08 13:38:28,193: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-08 13:38:28,193: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-08 13:38:28,241: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:38:28,243: +PARAM [/roslaunch/uris/host_cmeintel_desktop__34060] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:38:28,361: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:34410/
[rosmaster.master][INFO] 2016-06-08 13:38:28,362: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:34410/
[rosmaster.master][INFO] 2016-06-08 13:38:28,364: +PUB [/rosout_agg] /rosout http://cmeintel-desktop:34410/
[rosmaster.master][INFO] 2016-06-08 13:38:28,367: +SUB [/rosout] /rosout http://cmeintel-desktop:34410/
[rosmaster.master][INFO] 2016-06-08 13:38:28,584: +PARAM [/gripper_right/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:38:28,584: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:38:28,584: +PARAM [/objects/chair_ikea_borje/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:38:28,584: +PARAM [/objects/lamp_ikea_arstid/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:38:28,585: +PARAM [/objects/box_wood/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:38:28,585: +PARAM [/objects/candle_thin/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:38:28,585: +PARAM [/objects/picture_family/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:38:28,585: +PARAM [/gripper_left/joint_group_position_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:38:28,585: +PARAM [/objects/bookcase/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:38:28,585: +PARAM [/arm_left/arm_left_2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:38:28,585: +PARAM [/base/joint_group_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:38:28,585: +PARAM [/arm_left/twist_controller/eps_truncation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:38:28,585: +PARAM [/gripper_right/gripper_right_finger_2_joint_position_controller/joint] by /roslaunch
