[rosmaster.main][INFO] 2016-06-04 16:13:57,045: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-04 16:13:57,046: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-04 16:13:57,046: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-04 16:13:57,047: Started XML-RPC server [http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-04 16:13:57,047: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-04 16:13:57,047: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-04 16:13:57,067: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,068: +PARAM [/roslaunch/uris/host_cmeintel_desktop__34807] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,421: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,421: +PARAM [/objects/chair_ikea_borje/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,422: +PARAM [/objects/lamp_ikea_arstid/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,422: +PARAM [/objects/box_wood/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,422: +PARAM [/objects/candle_thin/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,422: +PARAM [/objects/picture_family/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,422: +PARAM [/objects/bookcase/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,423: +PARAM [/image_flip_torso_cam3d_right/image_flip_torso_cam3d_right/display_warnings] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,423: +PARAM [/base/joint_group_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,423: +PARAM [/torso/frame_tracker/pid_trans_y/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,423: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:38507/
[rosmaster.master][INFO] 2016-06-04 16:13:57,423: +PARAM [/torso/chain_base_link] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,424: +PARAM [/objects/salt/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,424: +PARAM [/objects/plant_floor_small/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,424: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:38507/
[rosmaster.master][INFO] 2016-06-04 16:13:57,424: +PARAM [/torso/twist_controller/constraint_jla] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,425: +PARAM [/objects/plant_flower_white/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,425: +PARAM [/sensorring/joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,425: +PARAM [/head/twist_controller/beta] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,426: +PARAM [/objects/cabinet_diamondback/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,426: +PARAM [/head/twist_controller/k_H] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,426: +PARAM [/base_laser_right/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,426: +PARAM [/objects/basmati_rice/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:13:57,427: +PARAM [/script_server/sensorring/back] by /roslaunch
