[rosmaster.main][INFO] 2016-06-09 15:32:14,553: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-09 15:32:14,553: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-09 15:32:14,554: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-09 15:32:14,555: Started XML-RPC server [http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-09 15:32:14,555: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-09 15:32:14,555: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-09 15:32:14,571: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:32:14,572: +PARAM [/roslaunch/uris/host_cmeintel_desktop__38220] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:32:14,681: +PARAM [/world_description] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:32:14,681: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:32:14,682: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:32:14,682: +PARAM [/world/elevator_left_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:32:14,682: +PARAM [/world/elevator_right_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:32:14,682: +PARAM [/world/elevator_button2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:32:14,682: +PARAM [/world/world_joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:32:14,682: +PARAM [/world/elevator_left_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:32:14,683: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:35914/
[rosmaster.master][INFO] 2016-06-09 15:32:14,683: +PARAM [/world/elevator_button1_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:32:14,683: +PARAM [/world/elevator_button2_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:32:14,683: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:32:14,684: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:35914/
[rosmaster.master][INFO] 2016-06-09 15:32:14,684: +PARAM [/world/joint_names] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:32:14,684: +PARAM [/world/world_joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:32:14,684: +PARAM [/world/elevator_right_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:32:14,684: +PARAM [/world/elevator_button1_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:32:14,690: +SUB [/clock] /rosout http://cmeintel-desktop:35914/
[rosmaster.master][INFO] 2016-06-09 15:32:14,691: +PUB [/rosout_agg] /rosout http://cmeintel-desktop:35914/
[rosmaster.master][INFO] 2016-06-09 15:32:14,697: +SUB [/rosout] /rosout http://cmeintel-desktop:35914/
[rosmaster.master][INFO] 2016-06-09 15:32:14,729: +PUB [/rosout] /world_state_publisher http://cmeintel-desktop:34030/
[rosmaster.master][INFO] 2016-06-09 15:32:14,730: +SERVICE [/world_state_publisher/get_loggers] /world_state_publisher http://cmeintel-desktop:34030/
[rosmaster.master][INFO] 2016-06-09 15:32:14,740: +SERVICE [/world_state_publisher/set_logger_level] /world_state_publisher http://cmeintel-desktop:34030/
[rosmaster.master][INFO] 2016-06-09 15:32:14,743: +SUB [/clock] /world_state_publisher http://cmeintel-desktop:34030/
[rosmaster.master][INFO] 2016-06-09 15:32:14,756: +PUB [/tf] /world_state_publisher http://cmeintel-desktop:34030/
[rosmaster.master][INFO] 2016-06-09 15:32:14,756: publisherUpdate[/rosout] -> http://cmeintel-desktop:35914/
