[rosmaster.main][INFO] 2016-06-08 20:48:28,609: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-08 20:48:28,610: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-08 20:48:28,611: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-08 20:48:28,611: Started XML-RPC server [http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-08 20:48:28,611: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-08 20:48:28,611: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-08 20:48:28,631: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 20:48:28,632: +PARAM [/roslaunch/uris/host_cmeintel_desktop__44260] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 20:48:28,732: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:45662/
[rosmaster.master][INFO] 2016-06-08 20:48:28,732: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:45662/
[rosmaster.master][INFO] 2016-06-08 20:48:28,734: +PUB [/rosout_agg] /rosout http://cmeintel-desktop:45662/
[rosmaster.master][INFO] 2016-06-08 20:48:28,737: +SUB [/rosout] /rosout http://cmeintel-desktop:45662/
[rosmaster.master][INFO] 2016-06-08 20:48:28,977: +PARAM [/gripper_right/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 20:48:28,977: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 20:48:28,977: +PARAM [/objects/chair_ikea_borje/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 20:48:28,977: +PARAM [/objects/lamp_ikea_arstid/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 20:48:28,977: +PARAM [/objects/box_wood/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 20:48:28,977: +PARAM [/objects/candle_thin/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 20:48:28,977: +PARAM [/objects/picture_family/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 20:48:28,977: +PARAM [/gripper_left/joint_group_position_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 20:48:28,978: +PARAM [/objects/bookcase/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 20:48:28,978: +PARAM [/arm_left/arm_left_2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 20:48:28,978: +PARAM [/base/joint_group_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 20:48:28,978: +PARAM [/arm_left/twist_controller/eps_truncation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 20:48:28,978: +PARAM [/gripper_right/gripper_right_finger_2_joint_position_controller/joint] by /roslaunch
