[rosmaster.main][INFO] 2016-06-04 16:00:04,076: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-04 16:00:04,076: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-04 16:00:04,077: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-04 16:00:04,077: Started XML-RPC server [http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-04 16:00:04,077: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-04 16:00:04,077: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-04 16:00:04,147: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:00:04,148: +PARAM [/roslaunch/uris/host_cmeintel_desktop__40074] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:00:04,196: +PARAM [/world_description] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:00:04,196: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:00:04,197: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:00:04,197: +PARAM [/world/elevator_left_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:00:04,197: +PARAM [/world/elevator_right_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:00:04,197: +PARAM [/world/elevator_button2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:00:04,197: +PARAM [/world/world_joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:00:04,197: +PARAM [/world/elevator_left_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:00:04,197: +PARAM [/world/elevator_button1_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:00:04,198: +PARAM [/world/elevator_button2_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:00:04,198: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:46186/
[rosmaster.master][INFO] 2016-06-04 16:00:04,198: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:00:04,198: +PARAM [/world/joint_names] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:00:04,198: +PARAM [/world/world_joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:00:04,198: +PARAM [/world/elevator_right_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:00:04,199: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:46186/
[rosmaster.master][INFO] 2016-06-04 16:00:04,199: +PARAM [/world/elevator_button1_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-04 16:00:04,202: +SUB [/clock] /rosout http://cmeintel-desktop:46186/
[rosmaster.master][INFO] 2016-06-04 16:00:04,203: +PUB [/rosout_agg] /rosout http://cmeintel-desktop:46186/
[rosmaster.master][INFO] 2016-06-04 16:00:04,206: +SUB [/rosout] /rosout http://cmeintel-desktop:46186/
[rosmaster.master][INFO] 2016-06-04 16:00:04,235: +PUB [/rosout] /world_state_publisher http://cmeintel-desktop:42520/
[rosmaster.master][INFO] 2016-06-04 16:00:04,245: +SERVICE [/world_state_publisher/get_loggers] /world_state_publisher http://cmeintel-desktop:42520/
[rosmaster.master][INFO] 2016-06-04 16:00:04,246: +SERVICE [/world_state_publisher/set_logger_level] /world_state_publisher http://cmeintel-desktop:42520/
[rosmaster.master][INFO] 2016-06-04 16:00:04,249: +SUB [/clock] /world_state_publisher http://cmeintel-desktop:42520/
[rosmaster.master][INFO] 2016-06-04 16:00:04,277: publisherUpdate[/rosout] -> http://cmeintel-desktop:46186/
[rosmaster.master][INFO] 2016-06-04 16:00:04,290: +PUB [/tf] /world_state_publisher http://cmeintel-desktop:42520/
[rosmaster.master][INFO] 2016-06-04 16:00:04,291: +PUB [/tf_static] /world_state_publisher http://cmeintel-desktop:42520/
[rosmaster.master][INFO] 2016-06-04 16:00:04,295: +SUB [/world/joint_states] /world_state_publisher http://cmeintel-desktop:42520/
[rosmaster.master][INFO] 2016-06-04 16:00:04,535: +PUB [/rosout] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:04,536: +SERVICE [/gazebo/get_loggers] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:04,536: +SERVICE [/gazebo/set_logger_level] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:04,541: +SUB [/clock] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:04,553: +PUB [/rosout] /elevator http://cmeintel-desktop:40294/
[rosmaster.master][INFO] 2016-06-04 16:00:04,555: +PUB [/rosout] /spawn_urdf_world http://cmeintel-desktop:37545/
[rosmaster.master][INFO] 2016-06-04 16:00:04,557: +SUB [/clock] /elevator http://cmeintel-desktop:40294/
[rosmaster.master][INFO] 2016-06-04 16:00:04,559: +SUB [/clock] /spawn_urdf_world http://cmeintel-desktop:37545/
[rosmaster.master][INFO] 2016-06-04 16:00:04,561: +SERVICE [/elevator/get_loggers] /elevator http://cmeintel-desktop:40294/
[rosmaster.master][INFO] 2016-06-04 16:00:04,562: +SERVICE [/spawn_urdf_world/get_loggers] /spawn_urdf_world http://cmeintel-desktop:37545/
[rosmaster.master][INFO] 2016-06-04 16:00:04,563: +SERVICE [/elevator/set_logger_level] /elevator http://cmeintel-desktop:40294/
[rosmaster.master][INFO] 2016-06-04 16:00:04,564: +SERVICE [/spawn_urdf_world/set_logger_level] /spawn_urdf_world http://cmeintel-desktop:37545/
[rosmaster.master][INFO] 2016-06-04 16:00:04,573: +SUB [/elevator_button1_bumper] /elevator http://cmeintel-desktop:40294/
[rosmaster.master][INFO] 2016-06-04 16:00:04,578: publisherUpdate[/rosout] -> http://cmeintel-desktop:46186/
[rosmaster.master][INFO] 2016-06-04 16:00:04,579: publisherUpdate[/rosout] -> http://cmeintel-desktop:46186/
[rosmaster.master][INFO] 2016-06-04 16:00:04,579: publisherUpdate[/rosout] -> http://cmeintel-desktop:46186/
[rosmaster.master][INFO] 2016-06-04 16:00:04,609: +PUB [/rosout] /world_tf_publisher http://cmeintel-desktop:46871/
[rosmaster.master][INFO] 2016-06-04 16:00:04,612: +SUB [/clock] /world_tf_publisher http://cmeintel-desktop:46871/
[rosmaster.master][INFO] 2016-06-04 16:00:04,613: +SERVICE [/world_tf_publisher/get_loggers] /world_tf_publisher http://cmeintel-desktop:46871/
[rosmaster.master][INFO] 2016-06-04 16:00:04,614: +SERVICE [/world_tf_publisher/set_logger_level] /world_tf_publisher http://cmeintel-desktop:46871/
[rosmaster.master][INFO] 2016-06-04 16:00:04,615: +PUB [/tf] /world_tf_publisher http://cmeintel-desktop:46871/
[rosmaster.master][INFO] 2016-06-04 16:00:04,679: publisherUpdate[/rosout] -> http://cmeintel-desktop:46186/
[rosmaster.master][INFO] 2016-06-04 16:00:05,109: +PUB [/clock] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,110: +SERVICE [/gazebo/spawn_gazebo_model] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,111: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,111: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,112: +SERVICE [/gazebo/delete_model] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,112: +SERVICE [/gazebo/get_model_properties] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,112: +SERVICE [/gazebo/get_model_state] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,113: +SERVICE [/gazebo/get_world_properties] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,113: +SERVICE [/gazebo/get_joint_properties] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,114: +SERVICE [/gazebo/get_link_properties] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,114: +SERVICE [/gazebo/get_link_state] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,115: +SERVICE [/gazebo/get_physics_properties] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,115: +PUB [/gazebo/link_states] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,116: +PUB [/gazebo/model_states] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,116: +SERVICE [/gazebo/set_link_properties] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,117: +SERVICE [/gazebo/set_physics_properties] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,117: +SERVICE [/gazebo/set_model_state] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,118: +SERVICE [/gazebo/set_model_configuration] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,118: +SERVICE [/gazebo/set_joint_properties] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,119: +SERVICE [/gazebo/set_link_state] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,121: +SUB [/gazebo/set_link_state] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,123: +SUB [/gazebo/set_model_state] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,124: +SERVICE [/gazebo/pause_physics] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,124: +SERVICE [/gazebo/unpause_physics] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,125: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,125: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,126: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,126: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,127: +SERVICE [/gazebo/reset_simulation] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,127: +SERVICE [/gazebo/reset_world] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,128: +PARAM [/use_sim_time] by /gazebo
[rosmaster.master][INFO] 2016-06-04 16:00:05,154: +SERVICE [/gazebo/set_parameters] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,154: +PUB [/gazebo/parameter_descriptions] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,155: +PUB [/gazebo/parameter_updates] /gazebo http://cmeintel-desktop:35471/
[rosmaster.master][INFO] 2016-06-04 16:00:05,162: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2016-06-04 16:00:05,162: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2016-06-04 16:00:05,163: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2016-06-04 16:00:05,163: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2016-06-04 16:00:05,164: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2016-06-04 16:00:05,164: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2016-06-04 16:00:05,165: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2016-06-04 16:00:05,166: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2016-06-04 16:00:05,166: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2016-06-04 16:00:05,167: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2016-06-04 16:00:05,167: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2016-06-04 16:00:05,168: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2016-06-04 16:00:05,168: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2016-06-04 16:00:05,168: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2016-06-04 16:00:05,169: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2016-06-04 16:00:05,171: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2016-06-04 16:00:05,171: +PARAM [/gazebo/max_update_rate] by /gazebo
