[rosmaster.main][INFO] 2016-06-09 15:34:02,032: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-09 15:34:02,033: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-09 15:34:02,033: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-09 15:34:02,034: Started XML-RPC server [http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-09 15:34:02,034: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-09 15:34:02,034: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-09 15:34:02,117: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:34:02,119: +PARAM [/roslaunch/uris/host_cmeintel_desktop__32965] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:34:02,244: +PARAM [/world_description] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:34:02,244: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:34:02,245: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:34:02,245: +PARAM [/world/elevator_left_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:34:02,245: +PARAM [/world/elevator_right_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:34:02,246: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:42030/
[rosmaster.master][INFO] 2016-06-09 15:34:02,246: +PARAM [/world/elevator_button2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:34:02,246: +PARAM [/world/world_joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:34:02,246: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:42030/
[rosmaster.master][INFO] 2016-06-09 15:34:02,247: +PARAM [/world/elevator_left_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-09 15:34:02,247: +PARAM [/world/elevator_button1_joint_position_controller/type] by /roslaunch
