[rosmaster.main][INFO] 2016-06-10 11:58:24,285: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-10 11:58:24,286: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-10 11:58:24,287: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-10 11:58:24,287: Started XML-RPC server [http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-10 11:58:24,287: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-10 11:58:24,287: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-10 11:58:24,353: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-10 11:58:24,354: +PARAM [/roslaunch/uris/host_cmeintel_desktop__41784] by /roslaunch
[rosmaster.master][INFO] 2016-06-10 11:58:24,755: +PARAM [/gripper_right/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2016-06-10 11:58:24,755: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-10 11:58:24,756: +PARAM [/objects/chair_ikea_borje/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-10 11:58:24,756: +PARAM [/objects/lamp_ikea_arstid/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-10 11:58:24,756: +PARAM [/objects/box_wood/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-10 11:58:24,756: +PARAM [/objects/candle_thin/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-10 11:58:24,756: +PARAM [/objects/picture_family/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-10 11:58:24,756: +PARAM [/gripper_left/joint_group_position_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2016-06-10 11:58:24,756: +PARAM [/objects/bookcase/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-10 11:58:24,757: +PARAM [/arm_left/arm_left_2_joint_position_controller/joint] by /roslaunch
