[rosmaster.main][INFO] 2016-06-20 13:41:07,512: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-20 13:41:07,512: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-20 13:41:07,513: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-20 13:41:07,514: Started XML-RPC server [http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-20 13:41:07,514: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-20 13:41:07,514: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-20 13:41:07,546: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-20 13:41:07,548: +PARAM [/roslaunch/uris/host_cmeintel_desktop__36024] by /roslaunch
[rosmaster.master][INFO] 2016-06-20 13:41:07,970: +PARAM [/gripper_right/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2016-06-20 13:41:07,970: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-20 13:41:07,970: +PARAM [/objects/chair_ikea_borje/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-20 13:41:07,970: +PARAM [/objects/lamp_ikea_arstid/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-20 13:41:07,970: +PARAM [/objects/box_wood/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-20 13:41:07,970: +PARAM [/objects/candle_thin/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-20 13:41:07,970: +PARAM [/objects/picture_family/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-20 13:41:07,970: +PARAM [/gripper_left/joint_group_position_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2016-06-20 13:41:07,970: +PARAM [/objects/bookcase/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-20 13:41:07,970: +PARAM [/arm_left/arm_left_2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-20 13:41:07,970: +PARAM [/base/joint_group_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2016-06-20 13:41:07,970: +PARAM [/arm_left/twist_controller/eps_truncation] by /roslaunch
[rosmaster.master][INFO] 2016-06-20 13:41:07,971: +PARAM [/gripper_right/gripper_right_finger_2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-20 13:41:07,971: +PARAM [/torso/frame_tracker/pid_trans_y/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2016-06-20 13:41:07,971: +PARAM [/torso/chain_base_link] by /roslaunch
[rosmaster.master][INFO] 2016-06-20 13:41:07,971: +PARAM [/objects/salt/model_type] by /roslaunch
