[rosmaster.main][INFO] 2016-06-08 13:41:17,428: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-08 13:41:17,428: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-08 13:41:17,429: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-08 13:41:17,429: Started XML-RPC server [http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-08 13:41:17,430: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-08 13:41:17,430: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-08 13:41:17,468: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,469: +PARAM [/roslaunch/uris/host_cmeintel_desktop__45679] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,572: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:44932/
[rosmaster.master][INFO] 2016-06-08 13:41:17,573: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:44932/
[rosmaster.master][INFO] 2016-06-08 13:41:17,574: +PUB [/rosout_agg] /rosout http://cmeintel-desktop:44932/
[rosmaster.master][INFO] 2016-06-08 13:41:17,578: +SUB [/rosout] /rosout http://cmeintel-desktop:44932/
[rosmaster.master][INFO] 2016-06-08 13:41:17,826: +PARAM [/gripper_right/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,826: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,826: +PARAM [/objects/chair_ikea_borje/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,826: +PARAM [/objects/lamp_ikea_arstid/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,826: +PARAM [/objects/box_wood/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,827: +PARAM [/objects/candle_thin/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,827: +PARAM [/objects/picture_family/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,827: +PARAM [/gripper_left/joint_group_position_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,827: +PARAM [/objects/bookcase/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,827: +PARAM [/arm_left/arm_left_2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,827: +PARAM [/base/joint_group_velocity_controller/required_drive_mode] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,827: +PARAM [/arm_left/twist_controller/eps_truncation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,827: +PARAM [/gripper_right/gripper_right_finger_2_joint_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,827: +PARAM [/torso/frame_tracker/pid_trans_y/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,827: +PARAM [/torso/chain_base_link] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,827: +PARAM [/objects/salt/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,827: +PARAM [/arm_left/arm_left_1_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,827: +PARAM [/objects/plant_floor_small/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,828: +PARAM [/image_flip_sensorring_cam3d/image_flip_sensorring_cam3d/display_warnings] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,828: +PARAM [/torso/twist_controller/constraint_jla] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,828: +PARAM [/objects/plant_flower_white/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,828: +PARAM [/arm_right/frame_tracker/pid_trans_x/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,828: +PARAM [/arm_right/arm_right_5_joint_velocity_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,828: +PARAM [/sensorring/joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 13:41:17,828: +PARAM [/script_server/arm_right/joint_names] by /roslaunch
