[rosmaster.main][INFO] 2016-06-08 17:30:34,362: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-08 17:30:34,362: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-08 17:30:34,363: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-08 17:30:34,363: Started XML-RPC server [http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-08 17:30:34,363: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-08 17:30:34,363: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-08 17:30:34,468: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:30:34,470: +PARAM [/roslaunch/uris/host_cmeintel_desktop__43597] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:30:34,607: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:46551/
[rosmaster.master][INFO] 2016-06-08 17:30:34,608: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:46551/
[rosmaster.master][INFO] 2016-06-08 17:30:34,609: +PUB [/rosout_agg] /rosout http://cmeintel-desktop:46551/
[rosmaster.master][INFO] 2016-06-08 17:30:34,613: +SUB [/rosout] /rosout http://cmeintel-desktop:46551/
[rosmaster.master][INFO] 2016-06-08 17:30:34,844: +PARAM [/gripper_right/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:30:34,845: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:30:34,845: +PARAM [/objects/chair_ikea_borje/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:30:34,845: +PARAM [/objects/lamp_ikea_arstid/position] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:30:34,845: +PARAM [/objects/box_wood/model_type] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:30:34,845: +PARAM [/objects/candle_thin/model] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:30:34,845: +PARAM [/objects/picture_family/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:30:34,845: +PARAM [/gripper_left/joint_group_position_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:30:34,845: +PARAM [/objects/bookcase/orientation] by /roslaunch
[rosmaster.master][INFO] 2016-06-08 17:30:34,845: +PARAM [/arm_left/arm_left_2_joint_position_controller/joint] by /roslaunch
