[rosmaster.main][INFO] 2016-06-23 17:13:05,583: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-23 17:13:05,584: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-23 17:13:05,585: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-23 17:13:05,585: Started XML-RPC server [http://cmeintel-desktop:11311/]
[rosmaster.master][INFO] 2016-06-23 17:13:05,585: Master initialized: port[11311], uri[http://cmeintel-desktop:11311/]
[xmlrpc][INFO] 2016-06-23 17:13:05,585: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-23 17:13:05,654: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-23 17:13:05,656: +PARAM [/roslaunch/uris/host_cmeintel_desktop__43841] by /roslaunch
[rosmaster.master][INFO] 2016-06-23 17:13:05,794: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2016-06-23 17:13:05,794: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-06-23 17:13:05,798: +SERVICE [/rosout/get_loggers] /rosout http://cmeintel-desktop:41359/
[rosmaster.master][INFO] 2016-06-23 17:13:05,799: +SERVICE [/rosout/set_logger_level] /rosout http://cmeintel-desktop:41359/
[rosmaster.master][INFO] 2016-06-23 17:13:05,800: +PUB [/rosout_agg] /rosout http://cmeintel-desktop:41359/
[rosmaster.master][INFO] 2016-06-23 17:13:05,805: +SUB [/rosout] /rosout http://cmeintel-desktop:41359/
[rosmaster.master][INFO] 2016-06-23 17:13:06,057: +PUB [/rosout] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:42088/
[rosmaster.master][INFO] 2016-06-23 17:13:06,061: +SERVICE [/ipa_pars/knowledge_parser_server_spawner/get_loggers] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:42088/
[rosmaster.master][INFO] 2016-06-23 17:13:06,062: +SERVICE [/ipa_pars/knowledge_parser_server_spawner/set_logger_level] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:42088/
[rosmaster.master][INFO] 2016-06-23 17:13:06,063: +PUB [/rosout] /ipa_pars/knowledge_parser_client_spawner http://cmeintel-desktop:36152/
[rosmaster.master][INFO] 2016-06-23 17:13:06,064: +PUB [/ipa_pars/knowledge_parser_server/status] /ipa_pars/knowledge_parser_server_spawner http://cmeintel-desktop:42088/
